time,throttle,aileron,elevator,rudder
0,0.2,0,0.005302803,0
0.1,0.19701177,2.52E-08,0.005285821,1.46E-07
0.1,0.19701177,2.52E-08,0.005285821,1.46E-07
0.118411295,0.19583346,5.91E-08,0.005278456,3.43E-07
0.118411295,0.19583346,5.91E-08,0.005278456,3.43E-07
0.12602735,0.19529036,8.06E-08,0.00527541,4.67E-07
0.12602735,0.19529036,8.06E-08,0.00527541,4.67E-07
0.13163483,0.1948721,1.00E-07,0.005273167,5.80E-07
0.13163483,0.1948721,1.00E-07,0.005273167,5.80E-07
0.2,0.18974471,8.06E-07,0.005245821,4.62E-06
0.2,0.18974471,8.06E-07,0.005245821,4.62E-06
0.3,0.1822447,6.18E-06,0.005205821,3.44E-05
0.3,0.1822447,6.18E-06,0.005205821,3.44E-05
0.31294805,0.1812736,7.65E-06,0.005200641,4.24E-05
0.31294805,0.1812736,7.65E-06,0.005200641,4.24E-05
0.31314757,0.18125863,7.68E-06,0.005200562,4.25E-05
0.31314757,0.18125863,7.68E-06,0.005200562,4.25E-05
0.31317893,0.18125628,7.68E-06,0.005200549,4.25E-05
0.31317893,0.18125628,7.68E-06,0.005200549,4.25E-05
0.4,0.17634292,2.27E-05,0.005165821,0.00013952
0.4,0.17634292,2.27E-05,0.005165821,0.00013952
0.5,0.17437218,3.96E-05,0.005125821,0.000358112
0.5,0.17437218,3.96E-05,0.005125821,0.000358112
0.6,0.17322296,4.67E-05,0.005085821,0.000685382
0.6,0.17322296,4.67E-05,0.005085821,0.000685382
0.7,0.17452574,4.47E-05,0.005045821,0.001112865
0.7,0.17452574,4.47E-05,0.005045821,0.001112865
0.8,0.17610091,3.90E-05,0.005005821,0.001632519
0.8,0.17610091,3.90E-05,0.005005821,0.001632519
0.9,0.17752884,3.37E-05,0.004965821,0.002236998
0.9,0.17752884,3.37E-05,0.004965821,0.002236998
1,0.17882212,2.99E-05,0.004925821,0.002919565
1,0.17882212,2.99E-05,0.004925821,0.002919565
1.1,0.17998716,2.74E-05,0.004885821,0.003673981
1.1,0.17998716,2.74E-05,0.004885821,0.003673981
1.2,0.18103364,2.53E-05,0.004845821,0.004494476
1.2,0.18103364,2.53E-05,0.004845821,0.004494476
1.3,0.18196799,2.33E-05,0.004805821,0.005375752
1.3,0.18196799,2.33E-05,0.004805821,0.005375752
1.4,0.18279615,2.12E-05,0.004765821,0.006313013
1.4,0.18279615,2.12E-05,0.004765821,0.006313013
1.5,0.18352458,1.93E-05,0.004725821,0.007300009
1.5,0.18352458,1.93E-05,0.004725821,0.007300009
1.6,0.18416034,1.75E-05,0.004685821,0.00830209
1.6,0.18416034,1.75E-05,0.004685821,0.00830209
1.7,0.184711,1.60E-05,0.004645821,0.009304252
1.7,0.184711,1.60E-05,0.004645821,0.009304252
1.8,0.18518402,1.45E-05,0.004605821,0.010303444
1.8,0.18518402,1.45E-05,0.004605821,0.010303444
1.9,0.18558638,1.32E-05,0.004565821,0.011302795
1.9,0.18558638,1.32E-05,0.004565821,0.011302795
2,0.18592434,1.21E-05,0.004525821,0.01230288
2,0.18592434,1.21E-05,0.004525821,0.01230288
2.1,0.18620321,1.10E-05,0.00448582,0.013303007
2.1,0.18620321,1.10E-05,0.00448582,0.013303007
2.2,0.18642758,9.95E-06,0.004445821,0.014302987
2.2,0.18642758,9.95E-06,0.004445821,0.014302987
2.3,0.1866015,9.03E-06,0.004405821,0.015302966
2.3,0.1866015,9.03E-06,0.004405821,0.015302966
2.4,0.18672879,8.17E-06,0.00436582,0.016302992
2.4,0.18672879,8.17E-06,0.00436582,0.016302992
2.5,0.18681297,7.37E-06,0.004325821,0.017302997
2.5,0.18681297,7.37E-06,0.004325821,0.017302997
2.6,0.18685737,6.64E-06,0.004285821,0.018302947
2.6,0.18685737,6.64E-06,0.004285821,0.018302947
2.7,0.18686517,5.95E-06,0.004245821,0.01930288
2.7,0.18686517,5.95E-06,0.004245821,0.01930288
2.8,0.1868394,5.33E-06,0.004205821,0.02030284
2.8,0.1868394,5.33E-06,0.004205821,0.02030284
2.9,0.18678275,4.74E-06,0.004165821,0.021302812
2.9,0.18678275,4.74E-06,0.004165821,0.021302812
3,0.18669775,4.20E-06,0.004125821,0.022302803
3,0.18669775,4.20E-06,0.004125821,0.022302803
3.1,0.18658678,3.70E-06,0.004085821,0.023302803
3.1,0.18658678,3.70E-06,0.004085821,0.023302803
3.2,0.1864519,3.24E-06,0.004045821,0.024302803
3.2,0.1864519,3.24E-06,0.004045821,0.024302803
3.3,0.18629496,2.80E-06,0.004005821,0.025302805
3.3,0.18629496,2.80E-06,0.004005821,0.025302805
3.4,0.18611777,2.40E-06,0.003965821,0.026302807
3.4,0.18611777,2.40E-06,0.003965821,0.026302807
3.5,0.1859226,2.02E-06,0.003925821,0.027302807
3.5,0.1859226,2.02E-06,0.003925821,0.027302807
3.6,0.18571192,1.66E-06,0.003885821,0.028302807
3.6,0.18571192,1.66E-06,0.003885821,0.028302807
3.7,0.18548517,1.33E-06,0.003845821,0.029302808
3.7,0.18548517,1.33E-06,0.003845821,0.029302808
3.8,0.185244,1.02E-06,0.003805821,0.030302808
3.8,0.185244,1.02E-06,0.003805821,0.030302808
